GPU: NVIDIA B200  H=16 HV=64 K=V=128

[test-mild B=8] 18 iterations, T=4 drafts/iter, window=16
 it         h  acc |     seq16    branch   wy2call    REPLAY |  rp-vs-wy  nan | flush(ckpt drift: kernel/prod vs fp32)
 15       3-7  2.5 |  5.79e-05  1.27e-04  3.68e-04  3.68e-04 |  2.44e-04    0 | 
 16      4-11  2.1 |  5.18e-05  1.23e-04  3.56e-04  3.56e-04 |  2.44e-04    0 | FLUSH#4 1.95e-03/2.08e-03
 17       0-0  2.8 |  4.95e-05  1.20e-04  2.78e-04  2.78e-04 |  2.44e-04    0 | 
  -> 4 flushes in 18 iterations

[big-state B=256] 18 iterations, T=4 drafts/iter, window=16
 it         h  acc |     seq16    branch   wy2call    REPLAY |  rp-vs-wy  nan | flush(ckpt drift: kernel/prod vs fp32)
  0       0-0  2.4 |  6.88e-03  1.56e-02  3.18e-02  3.18e-02 |  0.00e+00    0 | 
  1       1-4  2.5 |  7.29e-03  1.15e-02  1.89e-02  1.56e-02 |  1.56e-02    0 | 
  2       2-8  2.5 |  4.90e-03  6.76e-03  8.46e-03  6.38e-03 |  7.81e-03    0 | 
  3      3-12  2.5 |  3.02e-03  3.80e-03  4.35e-03  4.48e-03 |  5.86e-03    0 | FLUSH#1 3.12e-02/1.15e-01
  4       0-0  2.6 |  2.10e-03  2.05e-03  2.40e-03  1.88e-03 |  2.20e-03    0 | 
  5       1-4  2.5 |  7.36e-04  7.61e-04  1.02e-03  5.52e-04 |  9.77e-04    0 | 
  6       2-8  2.6 |  3.70e-04  3.47e-04  4.58e-04  4.58e-04 |  3.66e-04    0 | 
  7      3-12  2.5 |  1.05e-04  2.25e-04  4.83e-04  4.83e-04 |  2.44e-04    0 | FLUSH#2 3.72e-03/3.72e-03
  8       0-0  2.4 |  9.87e-05  2.30e-04  5.64e-04  5.64e-04 |  2.44e-04    0 | 
  9       1-4  2.6 |  7.57e-05  2.11e-04  5.15e-04  5.15e-04 |  2.44e-04    0 | 
 10       2-8  2.5 |  7.90e-05  2.29e-04  6.02e-04  6.02e-04 |  2.44e-04    0 | 
 11      3-12  2.4 |  7.51e-05  2.44e-04  5.65e-04  5.65e-04 |  2.44e-04    0 | FLUSH#3 3.42e-03/3.42e-03
 12       0-0  2.5 |  7.89e-05  2.47e-04  5.10e-04  5.10e-04 |  2.44e-04    0 | 
 13       1-4  2.5 |  7.48e-05  2.37e-04  5.95e-04  5.95e-04 |  2.44e-04    0 | 
 14       2-8  2.6 |  7.97e-05  2.40e-04  5.06e-04  5.06e-04 |  2.44e-04    0 | 
 15      3-12  2.6 |  6.65e-05  2.40e-04  5.86e-04  5.86e-04 |  2.44e-04    0 | FLUSH#4 3.44e-03/3.46e-03
 16       0-0  2.6 |  7.80e-05  1.89e-04  5.40e-04  5.40e-04 |  2.44e-04    0 | 
 17       1-4  2.5 |  6.78e-05  2.40e-04  4.94e-04  4.94e-04 |  2.44e-04    0 | 
  -> 4 flushes in 18 iterations

ALL PASS
