GPU: NVIDIA B200  H=16 HV=64 K=V=128

[test-mild B=8] 20 iters, per-request flush (h > 8)
 it         h   f% |     seq16    branch   wy2call    REPLAY |  nan | flushed-slot drift kernel/prod vs fp32
 11      1-12   14 |  1.15e-03  1.05e-03  1.13e-03  9.00e-04 |    0 | 36fl 1.04e-02/2.24e-02
 12      1-12   15 |  9.49e-04  9.51e-04  1.11e-03  8.75e-04 |    0 | 39fl 9.18e-03/2.20e-02
 13      1-11   17 |  1.13e-03  1.23e-03  1.31e-03  8.75e-04 |    0 | 45fl 1.07e-02/2.48e-02
 14      1-11   15 |  8.46e-04  9.29e-04  9.09e-04  7.33e-04 |    0 | 39fl 1.10e-02/2.34e-02
 15      1-12   17 |  9.59e-04  9.58e-04  9.76e-04  6.65e-04 |    0 | 45fl 9.21e-03/1.69e-02
 16      1-11   10 |  9.09e-04  1.00e-03  1.10e-03  6.69e-04 |    0 | 28fl 7.27e-03/1.70e-02
 17      1-12   13 |  9.38e-04  1.03e-03  1.03e-03  7.12e-04 |    0 | 34fl 8.14e-03/1.43e-02
 18      1-12   42 |  7.89e-04  7.71e-04  9.31e-04  8.33e-04 |    0 | 108fl 1.14e-02/2.68e-02
 19      1-11   18 |  7.00e-04  7.96e-04  8.52e-04  5.99e-04 |    0 | 48fl 8.38e-03/1.38e-02
  -> 805 request-flush events in 20 iterations

[big-state B=8] 20 iters, per-request flush (h > 8)
 it         h   f% |     seq16    branch   wy2call    REPLAY |  nan | flushed-slot drift kernel/prod vs fp32
  0       0-0    0 |  6.09e-03  1.55e-02  2.09e-02  2.09e-02 |    0 | 
  1       1-4    0 |  7.07e-03  9.23e-03  1.19e-02  1.13e-02 |    0 | 
  2       2-6    0 |  4.34e-03  5.79e-03  7.95e-03  8.27e-03 |    0 | 
  3       3-9   12 |  2.84e-03  3.09e-03  4.07e-03  3.38e-03 |    0 | 1fl 4.85e-03/1.04e-02
  4      4-12   25 |  2.06e-03  1.93e-03  2.46e-03  1.79e-03 |    0 | 2fl 7.33e-03/5.22e-03
  5      1-11   12 |  1.42e-03  1.28e-03  1.53e-03  1.03e-03 |    0 | 1fl 4.81e-03/3.23e-03
  6       1-9   25 |  7.67e-04  7.67e-04  1.34e-03  6.46e-04 |    0 | 2fl 7.56e-03/1.05e-02
  7       1-9   12 |  4.21e-04  4.46e-04  7.10e-04  5.12e-04 |    0 | 1fl 3.46e-03/1.92e-03
  8       3-9   12 |  2.94e-04  2.87e-04  4.52e-04  3.17e-04 |    0 | 1fl 5.20e-03/6.88e-03
  9      1-10   50 |  1.48e-04  1.69e-04  4.89e-04  4.89e-04 |    0 | 4fl 6.67e-03/1.09e-02
 10      1-11   25 |  9.83e-05  1.35e-04  3.59e-04  3.59e-04 |    0 | 2fl 5.54e-03/2.20e-03
 11       2-7    0 |  7.03e-05  1.15e-04  4.04e-04  4.04e-04 |    0 | 
 12       3-9   12 |  6.12e-05  1.35e-04  3.54e-04  4.63e-04 |    0 | 1fl 4.68e-03/1.95e-03
 13       1-9   12 |  5.20e-05  1.21e-04  3.08e-04  3.08e-04 |    0 | 1fl 5.48e-03/1.92e-03
 14      3-10   25 |  6.12e-05  1.21e-04  3.40e-04  3.40e-04 |    0 | 2fl 4.34e-03/1.94e-03
 15      1-12   25 |  5.59e-05  1.24e-04  4.14e-04  4.14e-04 |    0 | 2fl 5.69e-03/2.19e-03
 16       1-7    0 |  6.12e-05  1.22e-04  3.96e-04  3.96e-04 |    0 | 
 17      4-11   12 |  5.37e-05  1.22e-04  3.37e-04  3.37e-04 |    0 | 1fl 5.25e-03/1.85e-03
 18       3-9   37 |  4.87e-05  1.24e-04  3.31e-04  3.31e-04 |    0 | 3fl 4.85e-03/2.03e-03
 19      1-10   12 |  6.11e-05  2.45e-04  3.57e-04  3.57e-04 |    0 | 1fl 4.83e-03/2.98e-03
  -> 25 request-flush events in 20 iterations

[big-state B=256] 20 iters, per-request flush (h > 8)
 it         h   f% |     seq16    branch   wy2call    REPLAY |  nan | flushed-slot drift kernel/prod vs fp32
  0       0-0    0 |  6.88e-03  1.56e-02  3.18e-02  3.18e-02 |    0 | 
  1       1-4    0 |  7.29e-03  1.17e-02  1.48e-02  1.59e-02 |    0 | 
  2       2-8    0 |  5.42e-03  7.63e-03  8.69e-03  8.00e-03 |    0 | 
  3      3-12   10 |  3.94e-03  4.39e-03  5.81e-03  4.24e-03 |    0 | 27fl 6.88e-03/1.27e-02
  4      1-12   18 |  2.45e-03  3.29e-03  3.62e-03  2.73e-03 |    0 | 48fl 8.21e-03/1.25e-02
  5      1-12   19 |  1.61e-03  2.07e-03  2.15e-03  1.69e-03 |    0 | 49fl 7.00e-03/1.20e-02
  6      1-11   18 |  1.01e-03  1.27e-03  1.34e-03  1.09e-03 |    0 | 47fl 8.38e-03/1.21e-02
  7      1-12   16 |  7.47e-04  7.22e-04  8.29e-04  6.41e-04 |    0 | 42fl 7.03e-03/1.00e-02
  8      1-12   12 |  4.11e-04  4.46e-04  4.56e-04  4.51e-04 |    0 | 33fl 7.48e-03/1.13e-02
  9      1-11   36 |  2.57e-04  2.77e-04  6.34e-04  6.34e-04 |    0 | 93fl 9.78e-03/1.50e-02
 10      1-11   17 |  1.49e-04  2.38e-04  6.35e-04  6.35e-04 |    0 | 44fl 6.71e-03/3.48e-03
 11      1-12   14 |  9.21e-05  2.32e-04  5.26e-04  5.26e-04 |    0 | 36fl 6.79e-03/2.74e-03
 12      1-12   15 |  7.32e-05  2.36e-04  5.36e-04  5.39e-04 |    0 | 39fl 7.42e-03/2.46e-03
 13      1-11   17 |  8.63e-05  2.35e-04  6.41e-04  6.41e-04 |    0 | 45fl 7.75e-03/2.48e-03
 14      1-11   15 |  7.67e-05  2.45e-04  5.02e-04  5.02e-04 |    0 | 39fl 7.09e-03/2.73e-03
 15      1-12   17 |  7.87e-05  2.37e-04  5.57e-04  5.57e-04 |    0 | 45fl 6.87e-03/2.94e-03
 16      1-11   10 |  7.78e-05  2.40e-04  4.59e-04  4.59e-04 |    0 | 28fl 7.18e-03/2.96e-03
 17      1-12   13 |  8.75e-05  2.41e-04  4.49e-04  4.49e-04 |    0 | 34fl 6.54e-03/3.76e-03
 18      1-12   42 |  8.28e-05  2.35e-04  5.46e-04  5.46e-04 |    0 | 108fl 6.79e-03/3.48e-03
 19      1-11   18 |  8.78e-05  2.43e-04  4.41e-04  4.41e-04 |    0 | 48fl 7.50e-03/3.89e-03
  -> 805 request-flush events in 20 iterations

ALL PASS
